height = cm
volume = l

0	0
0.1	24
1	47
2	81
3	120
4	163
5	209
6	259
7	312
8	368
9	426
10	487
11	551
12	616
13	684
14	755
15	828
16	902
17	978
18	1056
19	1136
20	1218
21	1301
22	1386
23	1472
24	1560
25	1650
26	1741
27	1833
28	1927
29	2022
30	2118
31	2216
32	2314
33	2414
34	2517
35	2619
36	2723
37	2827
38	2933
39	3040
40	3148
41	3256
42	3366
43	3477
44	3589
45	3701
46	3815
47	3929
48	4045
49	4161
50	4278
51	4396
52	4514
53	4633
54	4753
55	4874
56	4995
57	5117
58	5239
59	5363
60	5487
61	5611
62	5737
63	5863
64	5989
65	6116
66	6244
67	6372
68	6500
69	6629
70	6759
71	6889
72	7020
73	7151
74	7283
75	7415
76	7547
77	7680
78	7813
79	7947
80	8081
81	8215
82	8350
83	8485
84	8620
85	8756
86	8893
87	9029
88	9166
89	9303
90	9440
91	9577
92	9715
93	9853
94	9992
95	10130
96	10269
97	10408
98	10549
99	10688
100	10828
101	10968
102	11108
103	11248
104	11388
105	11529
106	11669
107	11810
108	11951
109	12092
110	12233
111	12374
112	12515
113	12656
114	12797
115	12938
116	13079
117	13220
118	13361
119	13502
120	13643
121	13785
122	13925
123	14066
124	14206
125	14347
126	14487
127	14627
128	14767
129	14907
130	15047
131	15187
132	15327
133	15467
134	15606
135	15745
136	15883
137	16022
138	16160
139	16298
140	16436
141	16574
142	16711
143	16848
144	16986
145	17123
146	17259
147	17395
148	17531
149	17666
150	17801
151	17936
152	18071
153	18205
154	18338
155	18471
156	18605
157	18738
158	18870
159	19001
160	19132
161	19263
162	19393
163	19523
164	19652
165	19780
166	19908
167	20035
168	20163
169	20289
170	20415
171	20540
172	20664
173	20788
174	20911
175	21033
176	21155
177	21276
178	21396
179	21515
180	21634
181	21753
182	21870
183	21987
184	22103
185	22217
186	22331
187	22444
188	22557
189	22668
190	22778
191	22888
192	22996
193	23104
194	23210
195	23315
196	23420
197	23524
198	23625
199	23726
200	23826
201	23924
202	24021
203	24117
204	24212
205	24305
206	24397
207	24487
208	24576
209	24664
210	24750
211	24834
212	24917
213	24999
214	25079
215	25156
216	25232
217	25306
218	25378
219	25448
220	25516
221	25581
222	25644
223	25705
224	25763
225	25818
226	25871
227	25920

