height=cm
volume=l

0		0
0.1		15
1		29
2		50
3		76
4		105
5		137
6		172
7		209
8		249
9		290
10		334
11		380
12		428
13		478
14		530
15		583
16		638
17		694
18		752
19		812
20		873
21		935
22		999
23		1064
24		1130
25		1198
26		1267
27		1337
28		1408
29		1481
30		1554
31		1629
32		1705
33		1782
34		1860
35		1939
36		2019
37		2100
38		2182
39		2264
40		2348
41		2433
42		2519
43		2605
44		2693
45		2781
46		2870
47		2960
48		3051
49		3143
50		3235
51		3328
52		3422
53		3517
54		3612
55		3708
56		3805
57		3903
58		4001
59		4100
60		4200
61		4300
62		4401
63		4503
64		4605
65		4708
66		4811
67		4915
68		5019
69		5124
70		5230
71		5336
72		5443
73		5550
74		5658
75		5766
76		5875
77		5984
78		6094
79		6204
80		6315
81		6426
82		6537
83		6650
84		6762
85		6875
86		6989
87		7102
88		7217
89		7331
90		7446
91		7562
92		7678
93		7794
94		7911
95		8027
96		8145
97		8262
98		8380
99		8498
100		8617
101		8736
102		8855
103		8974
104		9094
105		9214
106		9334
107		9454
108		9575
109		9696
110		9817
111		9938
112		10060
113		10182
114		10304
115		10426
116		10548
117		10671
118		10793
119		10916
120		11039
121		11163
122		11286
123		11409
124		11533
125		11657
126		11781
127		11905
128		12029
129		12153
130		12277
131		12401
132		12526
133		12650
134		12775
135		12899
136		13024
137		13148
138		13273
139		13397
140		13522
141		13646
142		13771
143		13895
144		14019
145		14143
146		14267
147		14391
148		14515
149		14639
150		14762
151		14886
152		15009
153		15132
154		15255
155		15378
156		15500
157		15623
158		15745
159		15867
160		15989
161		16110
162		16232
163		16353
164		16474
165		16595
166		16715
167		16835
168		16955
169		17075
170		17195
171		17314
172		17433
173		17552
174		17670
175		17788
176		17906
177		18023
178		18140
179		18257
180		18374
181		18490
182		18606
183		18721
184		18836
185		18951
186		19065
187		19179
188		19292
189		19405
190		19518
191		19630
192		19742
193		19853
194		19964
195		20075
196		20185
197		20294
198		20403
199		20512
200		20620
201		20728
202		20835
203		20941
204		21047
205		21153
206		21258
207		21362
208		21466
209		21569
210		21672
211		21774
212		21875
213		21976
214		22076
215		22176
216		22275
217		22373
218		22470
219		22567
220		22663
221		22758
222		22853
223		22947
224		23040
225		23132
226		23224
227		23315
228		23405
229		23494
230		23582
231		23669
232		23756
233		23841
234		23926
235		24010
236		24093
237		24175
238		24256
239		24336
240		24415
241		24493
242		24570
243		24645
244		24720
245		24794
246		24866
247		24937
248		25007
249		25076
250		25143
251		25209
252		25274
253		25337
254		25399
255		25459
256		25518
257		25576
258		25632
259		25686
260		25739
261		25790
262		25839
263		25886
264		25932
265		25975
266		26016
267		26055
268		26091
269		26124
270		26153
271		26179
