height=cm
volume=l

0		0
0.1		1
1		12
2		32
3		57
4		86
5		119
6		156
7		195
8		236
9		279
10		325
11		373
12		422
13		473
14		526
15		581
16		637
17		694
18		753
19		813
20		875
21		938
22		1003
23		1068
24		1135
25		1204
26		1273
27		1344
28		1416
29		1489
30		1563
31		1639
32		1715
33		1792
34		1871
35		1951
36		2031
37		2113
38		2196
39		2279
40		2364
41		2449
42		2536
43		2623
44		2712
45		2801
46		2891
47		2982
48		3073
49		3166
50		3259
51		3354
52		3449
53		3544
54		3641
55		3738
56		3836
57		3934
58		4034
59		4134
60		4234
61		4336
62		4438
63		4540
64		4643
65		4747
66		4851
67		4956
68		5061
69		5167
70		5274
71		5381
72		5488
73		5596
74		5705
75		5814
76		5924
77		6034
78		6144
79		6255
80		6366
81		6478
82		6591
83		6703
84		6817
85		6930
86		7044
87		7159
88		7274
89		7389
90		7504
91		7620
92		7737
93		7854
94		7971
95		8088
96		8206
97		8324
98		8442
99		8561
100		8680
101		8800
102		8919
103		9039
104		9159
105		9280
106		9401
107		9522
108		9643
109		9764
110		9886
111		10008
112		10130
113		10252
114		10375
115		10498
116		10621
117		10744
118		10867
119		10990
120		11114
121		11238
122		11362
123		11486
124		11610
125		11734
126		11859
127		11983
128		12108
129		12232
130		12357
131		12482
132		12607
133		12732
134		12857
135		12982
136		13107
137		13232
138		13357
139		13483
140		13608
141		13733
142		13858
143		13983
144		14108
145		14233
146		14358
147		14482
148		14607
149		14731
150		14856
151		14980
152		15104
153		15228
154		15352
155		15476
156		15599
157		15723
158		15846
159		15969
160		16092
161		16215
162		16337
163		16459
164		16582
165		16703
166		16825
167		16947
168		17068
169		17189
170		17309
171		17430
172		17550
173		17670
174		17790
175		17909
176		18028
177		18147
178		18266
179		18384
180		18501
181		18619
182		18736
183		18853
184		18969
185		19085
186		19201
187		19316
188		19431
189		19546
190		19660
191		19774
192		19887
193		20000
194		20113
195		20225
196		20336
197		20447
198		20558
199		20668
200		20778
201		20887
202		20996
203		21105
204		21213
205		21320
206		21427
207		21533
208		21638
209		21743
210		21848
211		21952
212		22055
213		22157
214		22259
215		22361
216		22461
217		22561
218		22660
219		22759
220		22857
221		22954
222		23051
223		23147
224		23242
225		23336
226		23430
227		23523
228		23615
229		23706
230		23797
231		23887
232		23976
233		24064
234		24151
235		24237
236		24322
237		24407
238		24490
239		24573
240		24654
241		24734
242		24813
243		24892
244		24969
245		25045
246		25120
247		25193
248		25266
249		25338
250		25408
251		25477
252		25545
253		25612
254		25677
255		25741
256		25804
257		25866
258		25926
259		25985
260		26042
261		26098
262		26152
263		26204
264		26255
265		26304
266		26351
267		26396
268		26439
269		26480
270		26518
271		26554
